Wavelength,HER20,HER21,HER23,HER24,HER25,HER27,HER28,HER29,HER30,HER32,HER34,HER46,HER47,HER48,EEA1,EEA3,EIS1,EIS2,EIS3,ESU1,ESU2,ESU3,ETH1,ETH2,ETH3,HY+,HY-
427,3,4,3,3,4,3,3,3,3,3,4,3,2,2,7,6,5,5,5,7,7,5,7,8,6,5,20
428,3,4,3,3,5,3,3,3,3,4,4,3,2,2,7,6,5,6,5,7,7,5,8,9,6,5,21
429,3,4,3,3,5,4,3,3,3,4,4,3,2,2,8,6,5,6,5,7,7,6,8,9,7,5,21
430,3,5,3,3,5,4,3,4,3,4,4,3,2,2,8,7,6,6,5,8,8,6,8,9,7,5,21
431,3,5,3,4,5,4,4,4,4,4,5,3,2,3,8,7,6,7,6,8,8,6,9,9,7,5,21
432,3,5,3,4,5,4,4,4,4,4,5,4,2,3,9,7,6,7,6,8,8,6,9,10,7,5,21
433,4,6,4,4,6,4,4,4,4,5,5,4,3,3,9,8,7,8,6,9,8,6,9,10,8,5,21
434,4,6,4,4,6,5,4,5,4,5,6,4,3,3,10,8,7,8,6,9,9,6,9,10,8,5,21
435,4,6,4,5,6,5,5,5,5,6,6,4,3,4,10,8,7,8,7,9,9,7,10,10,8,5,22
436,5,7,5,5,7,5,5,5,5,6,7,4,4,4,11,9,8,9,7,9,9,7,10,11,8,5,22
437,5,8,5,6,7,6,5,6,6,7,7,5,4,5,11,9,8,9,7,10,9,7,10,11,9,5,22
438,6,8,5,6,8,6,6,6,6,7,8,5,5,5,11,10,8,10,7,10,10,7,11,11,9,6,22
439,6,9,6,7,9,7,6,7,7,8,8,5,5,6,12,10,9,10,8,10,10,7,11,11,9,6,22
440,7,10,7,8,9,8,7,8,8,9,9,6,6,7,12,10,9,11,8,11,10,7,11,12,9,6,22
441,8,11,8,8,10,9,8,9,8,10,10,6,7,8,13,11,10,11,8,11,10,8,12,12,10,6,22
442,9,12,9,9,11,10,9,10,9,11,11,7,8,9,13,11,10,12,9,11,11,8,12,12,10,6,22
443,10,13,10,11,12,11,10,11,10,12,13,8,9,10,14,12,10,12,9,11,11,8,12,13,10,6,22
444,11,15,11,12,14,12,11,12,12,14,14,8,10,11,14,12,11,13,9,12,11,8,12,13,10,6,22
445,12,16,12,13,15,13,12,14,13,15,16,9,11,13,14,12,11,13,10,12,11,8,13,13,11,6,22
446,14,18,14,15,17,15,13,15,15,17,17,10,13,14,15,13,12,14,10,12,12,9,13,13,11,6,22
447,16,20,15,17,18,16,14,17,16,19,19,11,14,16,15,13,12,14,10,13,12,9,13,14,11,7,22
448,17,22,17,18,20,18,16,19,18,21,21,13,16,18,16,13,13,15,11,13,12,9,14,14,11,7,22
449,19,24,19,20,22,20,17,21,20,23,23,14,18,20,16,14,13,15,11,13,12,9,14,14,12,7,22
450,21,26,21,23,24,22,19,23,22,25,26,15,21,22,17,14,14,16,11,14,13,9,14,14,12,7,22
451,24,29,23,25,26,24,21,25,24,27,28,17,23,25,17,15,14,16,12,14,13,10,14,15,12,8,22
452,26,31,26,27,28,27,23,28,27,30,30,19,25,28,18,15,15,17,12,14,13,10,15,15,12,8,22
453,28,33,28,30,31,29,25,30,29,32,33,21,28,30,18,15,15,17,13,14,13,10,15,15,13,8,22
454,31,36,30,32,33,32,27,33,31,35,36,23,31,33,19,16,16,17,13,15,14,10,15,15,13,9,22
455,33,38,33,35,35,34,29,35,34,37,38,25,34,36,19,16,17,18,13,15,14,10,16,16,13,9,23
456,36,41,35,37,38,37,31,38,36,40,41,27,36,39,19,17,17,18,14,15,14,11,16,16,13,9,23
457,38,43,38,40,40,39,33,40,39,42,43,30,39,42,20,17,18,19,14,16,14,11,16,16,14,10,23
458,41,45,40,42,42,42,35,43,41,45,46,32,42,45,20,17,18,19,15,16,15,11,17,16,14,11,23
459,43,48,43,45,44,44,37,45,44,47,48,35,45,49,21,18,19,20,15,16,15,11,17,17,14,11,23
460,45,50,45,47,46,47,39,47,46,49,51,38,48,52,21,18,19,20,15,17,15,11,17,17,14,12,23
461,48,52,47,49,48,49,41,49,48,52,53,40,51,55,22,18,20,21,16,17,15,12,17,17,15,12,23
462,50,54,50,51,50,51,42,51,50,54,55,43,53,57,22,19,20,21,16,17,16,12,18,18,15,13,23
463,52,55,52,53,52,53,44,53,52,56,57,46,56,60,23,19,21,22,17,18,16,12,18,18,15,14,23
464,53,57,53,55,54,55,45,55,54,57,59,49,58,63,23,20,22,22,17,18,16,12,18,18,15,15,24
465,55,58,55,57,55,57,47,57,56,59,61,52,61,65,24,20,22,22,17,18,16,12,19,18,16,16,24
466,57,60,57,59,56,58,48,58,57,60,62,55,63,68,24,20,23,23,18,19,17,13,19,19,16,17,24
467,58,61,58,60,58,59,49,60,58,62,64,57,65,70,25,21,23,23,18,19,17,13,19,19,16,18,24
468,59,62,60,61,59,61,50,61,60,63,65,60,66,72,25,21,24,24,19,20,17,13,19,19,17,19,24
469,61,63,61,62,60,62,51,62,61,64,66,62,68,74,25,22,24,24,19,20,18,13,20,20,17,20,25
470,62,64,62,63,61,63,52,63,62,65,67,65,70,76,26,22,25,24,20,20,18,13,20,20,17,21,25
471,62,64,63,64,61,64,53,64,63,66,68,67,71,77,26,22,25,25,20,21,18,14,20,20,17,22,25
472,63,65,63,65,62,64,54,65,63,66,69,69,72,78,27,23,26,25,20,21,18,14,21,20,18,24,25
473,64,66,64,66,63,65,54,65,64,67,70,70,73,80,27,23,26,25,21,21,19,14,21,21,18,25,25
474,65,66,65,66,63,66,55,66,65,67,70,72,74,81,28,24,26,26,21,22,19,14,21,21,18,26,26
475,65,67,65,67,64,66,55,66,65,68,71,73,75,82,28,24,27,26,21,22,19,14,21,21,19,28,26
476,66,67,66,67,64,67,56,67,66,68,71,75,75,83,29,24,27,26,22,22,19,15,22,22,19,29,26
477,66,67,66,67,64,67,56,67,66,69,71,76,76,83,29,25,28,27,22,23,20,15,22,22,19,31,26
478,66,68,66,68,64,67,56,67,66,69,72,77,76,84,30,25,28,27,23,23,20,15,22,22,19,32,27
479,67,68,67,68,65,67,56,68,67,69,72,78,77,84,30,26,29,27,23,23,20,15,22,22,20,33,27
480,67,68,67,68,65,68,57,68,67,69,72,78,77,85,30,26,29,28,23,24,20,15,23,23,20,35,27
481,67,68,67,68,65,68,57,68,67,69,72,79,78,85,31,26,30,28,24,24,21,16,23,23,20,36,27
482,67,68,67,68,65,68,57,68,67,70,73,79,78,86,31,27,30,28,24,25,21,16,23,23,20,38,28
483,67,68,68,69,65,68,57,68,67,70,73,80,78,86,32,27,30,28,24,25,21,16,24,24,21,39,28
484,68,68,68,69,65,68,57,68,67,70,73,80,78,86,32,28,31,29,25,25,21,16,24,24,21,40,28
485,68,69,68,69,65,68,57,68,68,70,73,81,78,86,32,28,31,29,25,26,22,17,24,24,21,42,29
486,68,69,68,69,66,68,58,68,68,70,73,81,79,87,33,28,32,29,25,26,22,17,24,24,22,43,29
487,68,69,68,69,66,68,58,69,68,70,73,82,79,87,33,29,32,30,26,26,22,17,25,25,22,44,29
488,68,69,68,69,66,68,58,69,68,70,73,83,79,87,34,29,32,30,26,27,23,17,25,25,22,46,29
489,68,69,68,69,66,69,58,69,68,70,73,83,79,87,34,30,33,30,26,27,23,17,25,25,22,47,30
490,68,69,68,69,66,69,58,69,68,70,74,84,79,88,35,30,33,31,27,27,23,18,26,25,23,48,30
491,68,69,68,69,66,69,58,69,68,70,74,84,79,88,35,31,34,31,27,28,23,18,26,26,23,49,30
492,68,69,68,70,66,69,58,69,68,70,74,85,80,88,35,31,34,31,28,28,24,18,26,26,23,50,30
493,68,69,69,70,66,69,58,69,68,71,74,85,80,88,36,31,34,31,28,28,24,18,26,26,24,52,31
494,69,69,69,70,66,69,58,69,68,71,74,86,80,89,36,32,35,32,28,29,24,19,27,27,24,53,31
495,69,69,69,70,66,69,58,69,68,71,74,86,80,89,37,32,35,32,29,29,25,19,27,27,24,54,31
496,69,69,69,70,66,69,58,69,69,71,74,86,80,89,37,33,35,32,29,30,25,19,27,27,24,55,32
497,69,69,69,70,66,69,58,69,69,71,74,87,80,89,37,33,36,32,29,30,25,19,28,27,25,56,32
498,69,69,69,70,67,69,58,69,69,71,74,87,80,89,38,33,36,33,30,30,26,20,28,28,25,57,32
499,69,69,69,70,67,69,58,69,69,71,74,87,80,89,38,34,36,33,30,31,26,20,28,28,25,57,32
500,69,69,69,70,67,69,58,69,69,71,74,88,81,89,39,34,37,33,30,31,26,20,28,28,26,58,33
501,69,69,69,70,67,69,58,69,69,71,75,88,81,90,39,35,37,33,31,31,27,20,29,29,26,59,33
502,69,69,69,70,67,69,58,69,69,71,75,88,81,90,39,35,37,34,31,32,27,20,29,29,26,60,33
503,69,69,69,70,67,69,58,69,69,71,75,88,81,90,40,35,38,34,32,32,27,21,29,29,26,60,33
504,69,69,69,70,67,69,58,69,69,71,75,89,81,90,40,36,38,34,32,32,28,21,30,29,27,61,34
505,69,69,69,70,67,69,58,69,69,71,75,89,81,90,41,36,39,34,32,33,28,21,30,30,27,61,34
506,69,68,69,70,67,69,59,69,69,71,75,89,81,90,41,37,39,35,33,33,28,21,30,30,27,62,34
507,70,68,69,70,67,69,59,69,69,71,75,89,81,90,41,37,39,35,33,34,28,22,30,30,28,62,35
508,70,68,69,70,67,69,59,69,69,71,75,90,81,90,42,37,40,35,33,34,29,22,31,31,28,63,35
509,70,68,69,70,67,69,59,69,69,71,75,90,81,90,42,38,40,35,34,34,29,22,31,31,28,63,35
510,70,68,70,70,68,69,59,69,69,71,75,90,81,91,43,38,40,36,34,35,29,22,31,31,29,63,35
511,70,68,70,70,68,69,59,69,69,71,75,90,82,91,43,38,41,36,34,35,30,23,31,31,29,64,36
512,70,68,70,70,68,69,59,69,69,71,75,91,82,91,43,39,41,36,35,35,30,23,32,32,29,64,36
513,70,68,70,70,68,69,59,69,69,71,76,91,82,91,44,39,41,36,35,36,30,23,32,32,30,64,36
514,70,68,70,70,68,69,59,69,69,71,76,91,82,91,44,40,42,37,35,36,31,23,32,32,30,64,37
515,70,68,70,70,68,69,59,69,69,71,76,91,82,91,44,40,42,37,36,36,31,24,33,32,30,64,37
516,70,68,70,70,68,69,59,69,69,71,76,91,82,91,45,40,42,37,36,37,31,24,33,33,30,64,37
517,70,68,70,71,68,69,59,70,69,71,76,92,82,91,45,41,43,37,36,37,32,24,33,33,31,65,37
518,70,68,70,71,68,69,59,70,69,71,76,92,82,91,45,41,43,38,37,38,32,24,33,33,31,65,38
519,70,68,70,71,68,69,59,70,69,71,76,92,82,91,46,41,43,38,37,38,32,25,34,34,31,65,38
520,70,68,70,71,68,69,59,70,69,71,76,92,82,91,46,41,43,38,37,38,33,25,34,34,32,65,38
521,70,68,70,71,68,69,59,70,69,71,76,92,82,91,46,42,44,38,38,39,33,25,34,34,32,65,39
522,71,68,70,71,68,69,59,70,69,71,76,92,82,91,47,42,44,39,38,39,33,25,34,35,32,65,39
523,71,68,70,71,68,69,59,70,69,71,76,92,82,91,47,42,44,39,38,39,34,26,35,35,33,65,39
524,71,68,70,71,69,69,59,70,69,71,76,92,82,91,47,43,45,39,39,40,34,26,35,35,33,65,39
525,71,68,70,71,69,69,59,70,69,71,76,92,82,91,47,43,45,39,39,40,34,26,35,35,33,65,40
526,71,68,70,71,69,69,59,70,69,71,77,92,82,91,48,43,45,40,39,40,35,26,36,36,33,65,40
527,71,68,70,71,69,69,59,70,69,71,77,92,82,91,48,44,46,40,40,41,35,27,36,36,34,65,40
528,71,68,70,71,69,69,59,70,69,71,77,91,82,91,48,44,46,40,40,41,35,27,36,36,34,65,40
529,71,68,70,71,69,69,59,70,69,71,77,91,82,91,49,44,46,40,40,41,36,27,36,37,34,65,41
530,71,68,70,71,69,69,59,70,69,71,77,91,82,91,49,45,46,41,40,42,36,27,37,37,35,65,41
531,71,68,70,71,69,69,59,70,69,71,77,91,82,91,49,45,47,41,41,42,36,28,37,37,35,65,41
532,71,68,70,71,69,69,59,70,69,71,77,91,82,91,50,45,47,41,41,42,36,28,37,37,35,65,41
533,71,68,70,71,69,69,59,70,69,71,77,90,82,91,50,46,47,41,41,43,37,28,37,38,36,65,42
534,71,68,70,71,69,69,59,70,69,71,77,90,82,91,50,46,48,42,42,43,37,28,38,38,36,65,42
535,71,68,70,71,69,69,59,70,69,71,77,90,82,91,51,46,48,42,42,43,37,28,38,38,36,65,42
536,71,68,70,71,69,69,59,70,69,71,77,90,82,91,51,47,48,42,42,44,38,29,38,39,36,65,42
537,71,68,70,71,68,68,59,70,69,71,77,89,82,91,51,47,48,42,43,44,38,29,38,39,37,65,43
538,71,68,70,71,68,68,59,70,69,71,77,89,82,90,51,47,49,43,43,44,38,29,39,39,37,65,43
539,71,68,70,71,68,68,59,70,69,71,77,89,82,90,52,47,49,43,43,45,38,29,39,39,37,65,43
540,71,68,70,71,68,68,59,70,69,71,77,89,82,90,52,48,49,43,43,45,39,30,39,40,38,65,43
